temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,temperament_1,temperament_2,temperament_3
"Smart, Bouncy, Charismatic",127.0,50.8,55.88,20.41165665,24.947580350000003,12.0,14.0,Herding Group,0.8,0.6,0.6,0.4,1.0,Smart,Bouncy,Charismatic
"Gentle, Faithful, Obedient",124.0,60.96,69.85,31.751465900000003,49.895160700000005,10.0,12.0,Herding Group,0.6,1.0,1.0,0.8,0.4,Gentle,Faithful,Obedient
"Loyal, Charming, Frollicking",141.0,38.1,44.45,7.71107029,10.43262451,11.0,16.0,Terrier Group,0.6,0.4,0.8,0.6,0.6,Loyal,Charming,Frollicking
"Affectionate, Alert, Intelligent",96.0,55.88,66.04,24.947580350000003,29.48350405,10.0,12.0,Miscellaneous Class,0.4,0.8,0.8,0.8,0.4,Affectionate,Alert,Intelligent
"Confident, Smart, Hardworking",43.0,55.88,66.04,18.1436948,36.2873896,14.0,16.0,Herding Group,0.4,0.6,0.8,0.8,0.4,Confident,Smart,Hardworking
"Bright, Watchful, Serious-Minded",125.0,55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group,0.6,0.6,0.8,0.8,0.4,Bright,Watchful,Serious-Minded
"Courageous, Alert, Intelligent",106.0,55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group,0.6,0.6,0.8,0.8,0.4,Courageous,Alert,Intelligent
"Independent, Sociable, Intelligent",187.0,55.88,59.69,25.85476509,38.10175908,13.0,15.0,Herding Group,0.2,0.2,0.4,0.6,0.4,Independent,Sociable,Intelligent
"Loyal, Good-Natured, Observant",144.0,54.61,64.77,22.6796185,31.751465900000003,12.0,13.0,Herding Group,0.2,0.6,1.0,0.8,0.6,Loyal,Good-Natured,Observant
"Good-Natured, Calm, Strong",22.0,58.42,69.85,31.751465900000003,52.16312255,7.0,10.0,Working Group,0.6,1.0,0.8,0.8,0.4,Good-Natured,Calm,Strong
"Playful, Curious, Peppy",46.0,24.13,29.21,5.4431084400000005,8.164662660000001,14.0,15.0,Non-Sporting Group,1.0,0.2,0.6,0.6,1.0,Playful,Curious,Peppy
"Intelligent, Devoted, Amusing",96.0,17.78,27.94,1.81436948,3.62873896,16.0,16.0,Miscellaneous Class,0.6,0.6,0.4,1.0,1.0,Intelligent,Devoted,Amusing
"Easy-Going, Bright, Brave",138.0,58.42,68.58,29.48350405,49.895160700000005,10.0,12.0,Hound Group,0.4,0.6,0.6,0.4,0.8,Easy-Going,Bright,Brave
"Intelligent, Calm, Powerful",118.0,66.04,76.2,36.2873896,58.9670081,10.0,12.0,Working Group,0.8,0.6,0.8,0.8,0.4,Intelligent,Calm,Powerful
"Friendly, Independent, Inquisitive",49.0,58.42,68.58,36.2873896,49.895160700000005,10.0,12.0,Hound Group,0.4,0.6,0.6,0.4,0.6,Friendly,Independent,Inquisitive
"Smart, Devoted, Tenacious",130.0,53.34,68.58,20.41165665,36.2873896,11.0,12.0,Hound Group,0.4,0.6,0.8,0.6,0.8,Smart,Devoted,Tenacious
"Confident, Intelligent, Calm",121.0,55.88,68.58,68.0388555,90.718474,9.0,11.0,Working Group,0.2,0.4,0.4,0.6,0.4,Confident,Intelligent,Calm
"Friendly, Devoted, Alert and Intelligent",96.0,49.022000000000006,55.118,16.78291769,27.2155422,12.0,15.0,Foundation Stock Service,0.2,0.4,0.6,0.8,0.6,Friendly,Devoted,Alert and Intelligent
"Playful, Easy-Going, Devoted",96.0,25.4,30.48,2.4947580350000003,4.082331330000001,12.0,14.0,Foundation Stock Service,0.6,0.2,0.4,0.6,0.8,Playful,Easy-Going,Devoted
"Affectionate, Smart, Energetic",35.0,45.72,55.88,13.6077711,24.947580350000003,12.0,15.0,Herding Group,0.6,0.6,1.0,1.0,0.4,Affectionate,Smart,Energetic
"Affectionate, Happy, Plucky",88.0,30.48,38.1,5.216312255,7.030681735,12.0,15.0,Terrier Group,0.4,0.4,0.6,0.8,0.8,Affectionate,Happy,Plucky
"Affectionate, Loyal, Regally Dignified",103.0,66.04,71.12,27.2155422,47.62719885,9.0,14.0,Hound Group,0.4,0.6,0.8,0.4,0.6,Affectionate,Loyal,Regally Dignified
"Friendly, Bright, Amusing",21.0,38.1,43.18,5.4431084400000005,11.33980925,11.0,13.0,Non-Sporting Group,0.4,0.2,0.6,1.0,1.0,Friendly,Bright,Amusing
"Affectionate, Courageous, Strong-Willed",84.0,59.69,69.85,31.751465900000003,49.895160700000005,10.0,12.0,Herding Group,0.8,0.6,0.8,0.6,0.6,Affectionate,Courageous,Strong-Willed
"Bright, Fun-Loving, Active",11.0,54.61,63.5,6.80388555,36.2873896,10.0,12.0,Working Group,0.4,0.4,0.8,0.8,1.0,Bright,Fun-Loving,Active
"Friendly, Eager, Lovable",100.0,35.56,45.72,11.33980925,18.1436948,10.0,15.0,Sporting Group,0.6,0.6,0.6,1.0,0.6,Friendly,Eager,Lovable
"Affectionate, Intelligent, Enthusiastic",96.0,53.34,68.58,24.947580350000003,40.8233133,10.0,14.0,Miscellaneous Class,0.2,0.4,0.8,0.8,0.6,Affectionate,Intelligent,Enthusiastic
"Affectionate, Adaptable, Gentle",96.0,48.26,57.15,15.875732950000002,24.04039561,10.0,12.0,Foundation Stock Service,0.2,0.6,0.6,1.0,0.6,Affectionate,Adaptable,Gentle
"Friendly, Smart, Willing to Please",96.0,46.99,58.42,18.1436948,24.947580350000003,12.0,14.0,Foundation Stock Service,0.2,0.6,1.0,0.6,0.4,Friendly,Smart,Willing to Please
"Confident, Smart, Faithful",132.0,55.88,68.58,24.947580350000003,45.359237,12.0,12.0,Herding Group,0.8,0.2,0.6,0.4,0.4,Confident,Smart,Faithful
"Bright, Fun-Loving, Upbeat",26.0,44.45,52.07,13.6077711,18.1436948,12.0,14.0,Sporting Group,0.6,0.6,1.0,1.0,0.8,Bright,Fun-Loving,Upbeat
"Friendly, Watchful, Loving",96.0,69.85,74.93,40.8233133,68.0388555,8.0,10.0,Foundation Stock Service,0.2,0.6,0.4,0.6,0.4,Friendly,Watchful,Loving
"Loyal, Alert, Curious",98.0,17.78,25.4,3.62873896,4.535923700000001,12.0,15.0,Toy Group,0.6,0.6,0.6,0.6,0.8,Loyal,Alert,Curious
"Playful, Charming, Mischievous",62.0,53.34,55.88,22.6796185,31.751465900000003,12.0,13.0,Terrier Group,0.4,0.6,0.8,0.4,0.8,Playful,Charming,Mischievous
"Friendly, Courageous, Calm",5.0,35.56,38.1,18.1436948,22.6796185,8.0,10.0,Non-Sporting Group,0.6,0.8,0.6,0.6,0.8,Friendly,Courageous,Calm
"Affectionate, Loyal, Brave",51.0,60.96,68.58,45.359237,58.9670081,7.0,9.0,Working Group,0.2,0.6,0.8,0.6,0.6,Affectionate,Loyal,Brave
"Alert, Cheerful, Busy",69.0,24.13,25.4,5.8967008100000005,6.35029318,13.0,15.0,Terrier Group,0.4,0.4,0.6,0.6,0.8,Alert,Cheerful,Busy
"Confident, Alert, Vigilant",179.0,48.26,60.96,15.875732950000002,24.947580350000003,12.0,15.0,Herding Group,0.4,1.0,0.6,0.4,0.4,Confident,Alert,Vigilant
"Affectionate, Intelligent, Majestic",32.0,59.69,69.85,0.0,0.0,9.0,12.0,Working Group,0.2,0.4,0.8,0.6,0.6,Affectionate,Intelligent,Majestic
"Affectionate, Loyal, Smart",68.0,26.67,31.75,11.33980925,17.23651006,12.0,15.0,Herding Group,0.4,0.6,0.8,0.6,0.6,Affectionate,Loyal,Smart
"Loyal, Independent, Reserved with Strangers",96.0,45.085,49.53,13.6077711,24.947580350000003,12.0,14.0,Foundation Stock Service,0.2,0.6,0.6,1.0,0.6,Loyal,Independent,Reserved with Strangers
"Loyal, Independent, Watchful",96.0,55.88,60.96,22.6796185,43.09127515,10.0,14.0,Foundation Stock Service,0.4,0.6,1.0,0.4,0.4,Loyal,Independent,Watchful
"Fearless, Bold, Kind",96.0,58.42,76.2,44.905644630000005,77.1107029,10.0,12.0,Foundation Stock Service,0.6,0.8,0.4,0.4,0.2,Fearless,Bold,Kind
"Affectionate, Gentle, Graceful",18.0,30.48,33.02,5.8967008100000005,8.164662660000001,12.0,15.0,Toy Group,0.4,0.4,0.4,1.0,0.8,Affectionate,Gentle,Graceful
"Independent, Courageous, Self-Confident",96.0,64.77,69.85,39.91612856,49.895160700000005,12.0,14.0,Foundation Stock Service,0.2,0.6,0.4,0.4,0.2,Independent,Courageous,Self-Confident
"Clever, Adventurous, Family-Oriented",185.0,25.4,33.02,6.35029318,10.88621688,12.0,15.0,Terrier Group,0.4,0.4,0.6,0.6,0.4,Clever,Adventurous,Family-Oriented
"Affectionate, Bright, Sensitive",45.0,53.34,66.04,24.947580350000003,36.2873896,10.0,13.0,Sporting Group,0.6,0.8,0.8,0.6,0.4,Affectionate,Bright,Sensitive
"Charming, Graceful, Sassy",33.0,12.7,20.32,2.72155422,2.72155422,14.0,16.0,Toy Group,0.2,0.4,0.6,0.4,0.6,Charming,Graceful,Sassy
"Affectionate, Alert, Lively",79.0,27.94,33.02,3.62873896,5.4431084400000005,13.0,18.0,Toy Group,0.2,0.2,0.6,0.6,0.8,Affectionate,Alert,Lively
"Loyal, Independent, Calm",64.0,45.72,50.8,20.41165665,27.2155422,8.0,12.0,Non-Sporting Group,0.2,0.8,0.6,0.2,0.4,Loyal,Independent,Calm
"Smart, Patient, Devoted",190.0,55.88,66.04,22.6796185,40.8233133,12.0,15.0,Working Group,0.4,0.6,0.8,1.0,0.8,Smart,Patient,Devoted
"Dignified, Bright, Serious-Minded",75.0,43.18,50.8,20.41165665,31.751465900000003,8.0,12.0,Non-Sporting Group,0.6,0.6,0.6,0.2,0.4,Dignified,Bright,Serious-Minded
"Affectionate, Friendly, Independent",183.0,41.91,49.53,7.71107029,11.79340162,12.0,14.0,Hound Group,0.2,0.2,0.6,0.6,0.6,Affectionate,Friendly,Independent
"Mellow, Amusing, Gentlemanly",143.0,43.18,50.8,24.947580350000003,38.55535145,10.0,12.0,Sporting Group,0.4,0.8,0.6,0.6,0.4,Mellow,Amusing,Gentlemanly
"Gentle, Smart, Happy",30.0,34.29,39.37,9.0718474,13.6077711,10.0,14.0,Sporting Group,0.8,0.4,0.6,1.0,1.0,Gentle,Smart,Happy
"Devoted, Graceful, Proud",38.0,55.88,66.04,22.6796185,34.01942775,12.0,14.0,Herding Group,0.6,0.6,0.6,0.8,0.8,Devoted,Graceful,Proud
"Charming, Bright, Happy-Go-Lucky",81.0,22.86,27.94,3.62873896,6.80388555,15.0,19.0,Non-Sporting Group,0.8,0.4,0.6,0.8,1.0,Charming,Bright,Happy-Go-Lucky
"Loyal, Active, Alert and Intelligent",96.0,40.64,50.8,13.15417873,19.95806428,13.0,14.0,Foundation Stock Service,0.2,0.4,1.0,1.0,0.4,Loyal,Active,Alert and Intelligent
"Confident, Proud, Wickedly Smart",162.0,58.42,68.58,27.2155422,43.09127515,10.0,12.0,Sporting Group,0.2,0.4,0.8,0.4,0.4,Confident,Proud,Wickedly Smart
"Loyal, Intelligent, Active",96.0,59.69,64.77,19.95806428,25.85476509,10.0,15.0,Foundation Stock Service,0.4,1.0,1.0,0.2,0.2,Loyal,Intelligent,Active
"Friendly, Curious, Spunky",12.0,12.7,22.86,4.9895160700000005,14.51495584,12.0,16.0,Hound Group,0.4,0.4,0.6,0.6,0.6,Friendly,Curious,Spunky
"Dignified, Smart, Outgoing",56.0,48.26,60.96,20.41165665,31.751465900000003,11.0,13.0,Non-Sporting Group,0.4,1.0,0.8,0.6,0.6,Dignified,Smart,Outgoing
"Independent, Smart, Proud",176.0,20.32,27.94,8.164662660000001,10.88621688,12.0,15.0,Terrier Group,0.8,0.2,0.6,0.4,0.4,Independent,Smart,Proud
"Energetic, Trainable, Attentive",96.0,31.75,36.83,6.80388555,9.0718474,11.0,13.0,Foundation Stock Service,0.2,0.4,0.8,0.6,0.4,Energetic,Trainable,Attentive
"Friendly, Versatile, Determined",96.0,45.72,53.34,18.1436948,24.947580350000003,12.0,14.0,Foundation Stock Service,0.4,0.6,0.6,0.6,0.4,Friendly,Versatile,Determined
"Loyal, Fearless, Alert",17.0,60.96,71.12,27.2155422,45.359237,10.0,12.0,Working Group,0.2,0.8,1.0,1.0,0.6,Loyal,Fearless,Alert
"Friendly, Cheerful, Humble",96.0,60.96,67.31,39.91612856,45.359237,9.0,15.0,Working Group,0.2,0.2,1.0,0.6,0.6,Friendly,Cheerful,Humble
"Affectionate, Loyal, Courageous",67.0,58.42,66.04,44.905644630000005,49.895160700000005,5.0,8.0,Working Group,0.2,0.8,0.6,0.6,0.6,Affectionate,Loyal,Courageous
"Loyal, Intelligent, Sensitive",96.0,53.34,63.5,21.77243376,33.11224301,11.0,14.0,Foundation Stock Service,0.4,0.8,0.8,0.6,0.4,Loyal,Intelligent,Sensitive
"Loyal, Even-Tempered, Determined",96.0,30.48,38.1,15.875732950000002,18.1436948,15.0,15.0,Foundation Stock Service,0.2,0.4,0.6,0.2,0.6,Loyal,Even-Tempered,Determined
"Intelligent, Lively, Athletic",96.0,54.61,62.23,19.05087954,34.01942775,11.0,14.0,Miscellaneous Class,0.4,0.6,1.0,0.6,0.6,Intelligent,Lively,Athletic
"Energetic, Merry, Responsive",52.0,38.1,43.18,11.79340162,15.42214058,12.0,14.0,Sporting Group,0.6,0.4,0.6,1.0,0.8,Energetic,Merry,Responsive
"Affectionate, Gentle, Sociable",188.0,60.96,60.96,27.2155422,34.01942775,10.0,13.0,Hound Group,0.2,0.8,0.8,0.6,0.8,Affectionate,Gentle,Sociable
"Friendly, Mellow, Merry",94.0,58.42,68.58,20.41165665,36.2873896,12.0,12.0,Sporting Group,0.6,0.8,0.8,0.8,0.8,Friendly,Mellow,Merry
"Friendly, Playful, Obedient",27.0,48.26,50.8,18.1436948,22.6796185,12.0,14.0,Sporting Group,0.4,0.4,0.6,1.0,0.8,Friendly,Playful,Obedient
"Gentle, Playful, Intelligent",135.0,22.86,25.4,3.62873896,6.35029318,10.0,12.0,Toy Group,0.6,0.6,0.6,0.4,0.6,Gentle,Playful,Intelligent
"Loyal, Smart, Enthusiastic",157.0,40.64,53.34,18.1436948,29.48350405,11.0,13.0,Herding Group,0.2,0.2,1.0,0.4,0.4,Loyal,Smart,Enthusiastic
"Alert, Intelligent, Brave",96.0,62.23,73.66,34.926612490000004,59.874192840000006,10.0,14.0,Foundation Stock Service,0.4,0.6,0.4,0.6,0.4,Alert,Intelligent,Brave
"Confident, Calm, Family-Oriented",96.0,48.26,60.96,18.1436948,31.751465900000003,12.0,16.0,Foundation Stock Service,0.6,0.6,0.6,0.6,0.4,Confident,Calm,Family-Oriented
"Sweet, Fun-Loving, Sensitive",149.0,43.18,45.72,15.875732950000002,22.6796185,12.0,13.0,Sporting Group,0.4,0.8,0.6,0.6,0.4,Sweet,Fun-Loving,Sensitive
"Friendly, Alert, Agile",161.0,40.64,53.34,14.968548210000002,24.04039561,12.0,15.0,Herding Group,0.4,0.6,0.6,1.0,0.4,Friendly,Alert,Agile
"Friendly, Good-Natured, Lively",184.0,39.37,50.8,9.0718474,14.968548210000002,13.0,15.0,Non-Sporting Group,0.4,0.6,1.0,0.6,0.8,Friendly,Good-Natured,Lively
"Cheerful, Optimistic, Good-Humored",91.0,55.88,62.23,27.2155422,31.751465900000003,8.0,10.0,Sporting Group,0.4,0.8,1.0,1.0,0.8,Cheerful,Optimistic,Good-Humored
"Adaptable, Playful, Smart",4.0,27.94,33.02,12.70058636,12.70058636,10.0,12.0,Non-Sporting Group,0.2,0.8,0.4,0.6,0.6,Adaptable,Playful,Smart
"Gentle, Sociable, Intelligent",96.0,54.61,60.96,22.6796185,27.2155422,10.0,12.0,Foundation Stock Service,0.4,0.6,0.6,0.6,0.4,Gentle,Sociable,Intelligent
"Versatile, Calm, Family-Oriented",96.0,55.88,71.12,24.947580350000003,36.2873896,12.0,14.0,Foundation Stock Service,0.2,0.6,0.8,1.0,0.8,Versatile,Calm,Family-Oriented
"Courageous, Intelligent, Vivacious",134.0,43.18,50.8,11.33980925,20.41165665,12.0,14.0,Working Group,0.2,0.4,1.0,0.6,0.6,Courageous,Intelligent,Vivacious
"Confident, Courageous, Smart",2.0,55.88,66.04,22.6796185,40.8233133,7.0,10.0,Herding Group,0.4,0.8,0.6,1.0,0.6,Confident,Courageous,Smart
"Friendly, Smart, Willing to Please",9.0,53.34,63.5,20.41165665,31.751465900000003,10.0,12.0,Sporting Group,0.4,0.8,1.0,1.0,0.8,Friendly,Smart,Willing to Please
"Devoted, Lively, Attentive",96.0,30.48,38.1,10.88621688,11.79340162,13.0,15.0,Foundation Stock Service,0.6,0.6,0.6,1.0,0.4,Devoted,Lively,Attentive
"Affectionate, Eager, Enthusiastic",63.0,55.88,66.04,22.6796185,31.751465900000003,14.0,16.0,Sporting Group,0.4,0.8,1.0,1.0,0.4,Affectionate,Eager,Enthusiastic
"Loyal, Alert, Trainable",78.0,59.69,69.85,24.947580350000003,38.55535145,12.0,15.0,Working Group,0.8,0.6,1.0,0.8,0.6,Loyal,Alert,Trainable
"Gentle, Spirited, Bold",174.0,31.75,35.56,14.51495584,18.1436948,10.0,15.0,Terrier Group,0.6,0.4,0.6,0.4,0.6,Gentle,Spirited,Bold
"Friendly, Intelligent, Devoted",3.0,54.61,60.96,24.947580350000003,34.01942775,10.0,12.0,Sporting Group,0.4,0.6,1.0,1.0,0.8,Friendly,Intelligent,Devoted
"Affectionate, Confident, Bold",115.0,58.42,68.58,20.41165665,36.2873896,12.0,13.0,Sporting Group,0.4,0.6,1.0,0.4,0.4,Affectionate,Confident,Bold
"Independent, Happy, Outgoing",177.0,39.37,45.72,18.1436948,20.41165665,13.0,15.0,Hound Group,0.4,0.6,1.0,0.4,0.8,Independent,Happy,Outgoing
"Friendly, Patient, Dependable",16.0,71.12,81.28,49.895160700000005,79.37866475,7.0,10.0,Working Group,0.2,0.6,0.8,0.6,0.6,Friendly,Patient,Dependable
"Smart, Patient, Calm",66.0,63.5,81.28,38.55535145,45.359237,10.0,12.0,Working Group,0.4,0.6,1.0,0.4,0.4,Smart,Patient,Calm
"Faithful, Family-Oriented, Dependable",74.0,59.69,72.39,38.55535145,63.502931800000006,8.0,11.0,Working Group,0.4,0.6,0.8,0.6,0.6,Faithful,Family-Oriented,Dependable
"Gentle, Independent, Noble",145.0,68.58,76.2,27.2155422,31.751465900000003,10.0,13.0,Hound Group,0.2,0.4,0.8,0.4,0.8,Gentle,Independent,Noble
"Agile, Versatile, Regal",96.0,48.26,60.96,18.1436948,34.01942775,14.0,17.0,Foundation Stock Service,0.2,0.2,0.8,0.6,0.8,Agile,Versatile,Regal
"Loyal, Independent, Calm",96.0,48.26,53.34,35.83379723,44.905644630000005,10.0,14.0,Foundation Stock Service,0.2,0.2,0.6,0.4,0.4,Loyal,Independent,Calm
"Friendly, Outgoing, People-Oriented",189.0,48.26,53.34,20.41165665,27.2155422,12.0,15.0,Hound Group,0.4,0.4,1.0,0.8,0.8,Friendly,Outgoing,People-Oriented
"Intelligent, Outgoing, Funny",24.0,21.59,29.21,3.17514659,5.8967008100000005,14.0,16.0,Toy Group,0.6,0.4,0.6,0.8,1.0,Intelligent,Outgoing,Funny
"Dignified, Alert, Devoted",96.0,45.72,50.8,19.95806428,29.937096420000003,12.0,15.0,Foundation Stock Service,0.4,0.6,0.8,0.6,0.4,Dignified,Alert,Devoted
"Alert, Faithful, Intelligent",96.0,58.42,71.12,29.48350405,40.8233133,10.0,14.0,Foundation Stock Service,0.2,0.6,0.6,0.2,0.4,Alert,Faithful,Intelligent
"Family-Oriented, Even-Tempered, Polite",152.0,57.15,69.85,20.41165665,22.6796185,11.0,14.0,Hound Group,0.2,0.4,1.0,0.4,0.4,Family-Oriented,Even-Tempered,Polite
"Friendly, Playful, Inquisitive",155.0,41.91,45.72,11.33980925,13.6077711,12.0,14.0,Herding Group,0.4,0.6,0.8,1.0,0.8,Friendly,Playful,Inquisitive
"Courageous, Spirited, Determined",146.0,57.15,66.04,15.875732950000002,27.2155422,11.0,15.0,Sporting Group,0.4,0.6,1.0,0.8,0.8,Courageous,Spirited,Determined
"Active, Outgoing, Sweet-Natured",77.0,63.5,68.58,27.2155422,31.751465900000003,12.0,15.0,Sporting Group,0.6,0.6,1.0,0.6,1.0,Active,Outgoing,Sweet-Natured
"Bold, Dashing, Tenderhearted",116.0,45.72,45.72,11.33980925,12.24699399,13.0,15.0,Terrier Group,0.2,0.4,0.6,0.6,0.6,Bold,Dashing,Tenderhearted
"Playful, Hardworking, Brave",159.0,53.34,60.96,20.41165665,30.84428116,12.0,13.0,Sporting Group,0.4,0.6,1.0,0.8,0.4,Playful,Hardworking,Brave
"Courageous, Dignified, Calm",76.0,76.2,81.28,47.62719885,54.4310844,6.0,8.0,Hound Group,0.4,0.6,0.6,0.4,0.6,Courageous,Dignified,Calm
"Playful, Alert, Sensitive",73.0,33.02,38.1,3.17514659,6.35029318,14.0,15.0,Toy Group,0.2,0.6,0.6,0.4,0.2,Playful,Alert,Sensitive
"Courageous, Intelligent, Hardworking",96.0,33.02,40.64,7.71107029,9.97903214,10.0,12.0,Foundation Stock Service,0.4,0.6,0.6,0.6,0.4,Courageous,Intelligent,Hardworking
"Charming, Noble, Loving",104.0,20.32,27.94,3.17514659,4.9895160700000005,10.0,12.0,Toy Group,0.4,0.6,0.6,0.4,0.4,Charming,Noble,Loving
"Loyal, Playful, Smart",96.0,30.48,38.1,4.535923700000001,11.33980925,12.0,14.0,Foundation Stock Service,0.4,0.4,0.6,0.8,0.8,Loyal,Playful,Smart
"Alert, Intelligent, Bold",96.0,45.72,55.88,13.6077711,22.6796185,14.0,14.0,Foundation Stock Service,0.4,0.6,0.8,0.4,0.4,Alert,Intelligent,Bold
"Loyal, Agile, Keen",96.0,39.37,49.53,9.0718474,18.1436948,12.0,15.0,Foundation Stock Service,0.2,0.6,0.8,0.4,0.4,Loyal,Agile,Keen
"Loyal, Independent, Courageous",96.0,48.26,59.69,19.95806428,22.22602613,11.0,13.0,Foundation Stock Service,0.2,0.6,0.4,0.6,0.4,Loyal,Independent,Courageous
"Friendly, Lively, Outgoing",95.0,43.18,45.72,15.875732950000002,20.41165665,12.0,15.0,Non-Sporting Group,0.6,0.6,0.6,0.8,0.8,Friendly,Lively,Outgoing
"Smart, Alert, People-Oriented",129.0,44.45,49.53,14.968548210000002,18.1436948,12.0,15.0,Terrier Group,0.6,0.4,0.6,0.2,0.6,Smart,Alert,People-Oriented
